綜合,#genre#
靖天歡樂台,https://gat.proton218.top/litv/4gtv-4gtv054
龍華日韓台,https://gat.proton218.top/litv/litv-longturn11
TVBS綜藝台,https://gat.proton218.top/4gtv/284
TVBS歡樂台,https://gat.proton218.top/litv/4gtv-4gtv068
TVBS精采台,https://gat.proton218.top/litv/4gtv-4gtv067
八大精彩台,https://gat.proton218.top/litv/4gtv-4gtv034
八大綜藝台,https://gat.proton218.top/litv/4gtv-4gtv039
ELTA娛樂台,https://gat.proton218.top/litv/4gtv-4gtv070
Classica古典樂,https://gat.proton218.top/litv/4gtv-4gtv059
Lifetime娛樂頻道,https://gat.proton218.top/4gtv/217
MTVLiveHD音樂頻道,https://gat.proton218.top/4gtv/213
MezzoLive,https://gat.proton218.top/litv/4gtv-4gtv083
豬哥亮歌廳秀,https://gat.proton218.top/litv/4gtv-4gtv006
TraceUrban,https://gat.proton218.top/litv/4gtv-4gtv082


少兒,#genre#
靖天映畫台,https://gat.proton218.top/litv/4gtv-4gtv055
靖天卡通台,https://gat.proton218.top/litv/4gtv-4gtv044
龍華卡通台,https://gat.proton218.top/litv/litv-longturn01
靖洋卡通NiceBingo,https://gat.proton218.top/litv/4gtv-4gtv057
DreamWorks夢工廠動畫,https://gat.proton218.top/4gtv/282
Nickelodeon,https://gat.proton218.top/4gtv/185
NickJr.兒童頻道,https://gat.proton218.top/4gtv/219
i-Fun動漫台,https://gat.proton218.top/litv/litv-ftv15
兒童卡通台,https://gat.proton218.top/4gtv/269
精選動漫台,https://gat.proton218.top/4gtv/204
經典卡通台,https://gat.proton218.top/4gtv/202
達文西頻道,https://gat.proton218.top/litv/4gtv-4gtv018
超人力霸王整套看,https://gat.proton218.top/4gtv/278
MOMO親子台,https://gat.proton218.top/4gtv/231
LiveABC互動英語台,https://gat.proton218.top/4gtv/188


其他,#genre#
TVBS,https://gat.proton218.top/litv/4gtv-4gtv073
History歷史頻道,https://gat.proton218.top/4gtv/214
CI罪案偵查頻道,https://gat.proton218.top/4gtv/215
Smart知識台,https://gat.proton218.top/litv/litv-longturn19
視納華仁紀實頻道,https://gat.proton218.top/litv/4gtv-4gtv013
原住民族電視台,https://gat.proton218.top/4gtv/273
客家電視台,https://gat.proton218.top/litv/4gtv-4gtv043
滾動力Rollor,https://gat.proton218.top/4gtv/249
好消息,https://gat.proton218.top/litv/litv-ftv16
好消息2台,https://gat.proton218.top/litv/litv-ftv17
大愛電視,https://gat.proton218.top/4gtv/209
大愛電視2,https://gat.proton218.top/4gtv/230
人間衛視,https://gat.proton218.top/4gtv/210
國會頻道1,https://gat.proton218.top/litv/4gtv-4gtv084
國會頻道2,https://gat.proton218.top/litv/4gtv-4gtv085
東森購物一台,https://gat.proton218.top/4gtv/173
東森購物二台,https://gat.proton218.top/4gtv/174
東森購物三台,https://gat.proton218.top/4gtv/287
東森購物四台,https://gat.proton218.top/4gtv/286


體育,#genre#
博斯運動一台,https://gat.proton218.top/litv/litv-longturn07
博斯運動二台,https://gat.proton218.top/litv/litv-longturn08
博斯無限台,https://gat.proton218.top/litv/litv-longturn10
博斯無限二台,https://gat.proton218.top/litv/litv-longturn13
博斯網球台,https://gat.proton218.top/litv/litv-longturn09
博斯高球台,https://gat.proton218.top/litv/litv-longturn05
博斯高球二台,https://gat.proton218.top/litv/litv-longturn06
博斯魅力台,https://gat.proton218.top/litv/litv-longturn04
GINXEsportsTV,https://gat.proton218.top/litv/4gtv-4gtv053
TechStorm,https://gat.proton218.top/4gtv/181
時尚運動X,https://gat.proton218.top/4gtv/277
智林體育台,https://gat.proton218.top/litv/4gtv-4gtv101
TraceSports,https://gat.proton218.top/litv/4gtv-4gtv077


