綜合,#genre#
好消息2台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-ftv17
大愛電視,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/209
大愛電視2,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/230
人間衛視,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/210
國會頻道1,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv084
國會頻道2,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv085
東森購物一台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/173
東森購物二台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/174
東森購物三台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/287
東森購物四台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/286


體育,#genre#
博斯運動一台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn07
博斯運動二台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn08
博斯無限台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn10
博斯無限二台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn13
博斯網球台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn09
博斯高球台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn05
博斯高球二台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn06
博斯魅力台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn04
GINXEsportsTV,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv053
TechStorm,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/181
時尚運動X,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/277
智林體育台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv101
TraceSports,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv077
TNTSport1,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/TNT_Sports_1
TNTSport2,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/TNT_Sports_2
TNTSport3,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/TNT_Sports_3
TNTSport4,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/TNT_Sports_4
SkySportsFootball,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Sky_Sports_Football_Live_TV
SkySportsMainEvent,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Sky_Sports_Main_Event
SkySportsPremierLeague,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Sky_Sports_Premier_League
SkySportsAction,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Sky_Sports_Action_Live_TV
SkySportsMix,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Sky_Sports_Mix_Live_TV
SkySportsArena,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Sky_Sports_Arena_Live_TV
SkySportsNews,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Sky_Sports_News_Live_TV
SkySportsCricket,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Sky_Sports_Cricket_Live_TV
SkySportsTennis,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Sky_Sports_Tennis
SkySportsF1,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Sky_Sports_F1_Live_TV
SkySportsGolf,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Sky_Sports_Golf_Live_TV
SkySportsRacing,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Sky_Sports_Racing_Live_TV
TennisChannel,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Tennis_Channel_Live_TV
LaLigaTV,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/La_Liga_TV_Live_TV
DAZN,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/DAZN_Live_TV
BeinSportsUSA,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Bein_Sports_USA_Live_TV
BeinSportsEnglish2,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Bein_Sports_English_2_Live_TV
SuperSportPremierLeague,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/SuperSport_Premier_League_Live_TV
SuperSportLaLiga,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/SuperSport_LaLiga_Live_TV
SuperSportAction,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/SuperSport_Action_Live_TV
SuperSportBlitz,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/SuperSport_Blitz_Live_TV
SuperSportCricket,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/SuperSport_Cricket_Live_TV
SuperSportFootball,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/SuperSport_Football_Live_TV
SuperSportGolf,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/SuperSport_Golf_Live_TV
SuperSportRugby,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/SuperSport_Rugby_Live_TV
SuperSportTennis,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/SuperSport_Tennis_Live_TV
Variety1,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Variety_1_Live_TV
Variety2,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Variety_2_Live_TV
Variety3,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Variety_3_Live_TV
Variety4,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Variety_4_Live_TV
Eurosport1,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Eurosport_1_Live_TV
Eurosport2,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Eurosport_2_Live_TV
PremierSports1,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Premier_Sports_1
PremierSports2,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Premier_Sports_2
GolfChannel,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/Golf_Channel_Live_TV
MLBNetwork,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/MLB_Network_Live_TV
NBATV,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/NBA_TV_Live_TV
