央视频道MY,#genre#
CCTV16,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel116/index.m3u8
CCTV16,http://58.35.70.169:10055/live/cctv16/hls.m3u8
CCTV16,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv16hd4k/15000000/mnf.m3u8
CCTV16,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/cctv16hd4k/15000000/mnf.m3u8
CCTV16,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/cctv16hd8m/8000000/mnf.m3u8
CCTV16,http://php.jdshipin.com:8880/bst.php?id=cctv16hd8m/8000000
CCTV17,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv17hd8m/8000000/mnf.m3u8
CCTV17,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel90/index.m3u8
CCTV17,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/cctv17hd8m/8000000/mnf.m3u8
CCTV17,http://159.75.85.63:5678/zb.php?id=douyin
CCTV17,http://php.jdshipin.com:8880/bst.php?id=cctv17hd8m/8000000
CCTV17,http://58.35.70.169:10055/live/cctv17/hls.m3u8
CCTV4k,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV4k,https://live.goodiptv.club/api/cqyx.php?id=CCTV4K
CCTV4k,http://159.75.85.63:5679/cctv4k.php
CCTV4k,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv4k/15000000/mnf.m3u8
CCTV4k,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/cctv4k/15000000/mnf.m3u8
CCTV4k,http://cfss.cc/api/ysp/cctv4k.m3u8
CCTV4k,https://live.goodiptv.club/api/bestv.php?id=cctv4k/15000000
CCTV4k,http://open.live-web.timetv.cn/live03/cctv4k.m3u8
CCTV4k,http://r.jdshipin.com/krMB5
CCTV8k,http://159.75.85.63:8765/xxtv8k.php
CCTV8k,http://159.75.85.63:8654/xx8k50fps.php
CCTV音乐,http://111.74.155.231:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV世界地理,https://yang-1989.eu.org/live/sjdl
CCTV兵器科技,https://yang-1989.eu.org/live/bqkj
CCTV卫生健康,https://yang-1989.eu.org/live/wsjk
CCTV央视台球,https://yang-1989.eu.org/live/ystq
CCTV央视文化,https://yang-1989.eu.org/live/whjp
CCTV女性时尚,https://yang-1989.eu.org/live/nxss
